Cod_Transacao,Produto,Quantidade,Preço Unitário,Valor Total,Forma de Pagamento,Tipo de Consumo,Data da Transação
TXN_3443235,LANCHE,5,4.0,20.0,,,11/10/2023
TXN_6191769,SALADA,1,5.0,5.0,CARTÃO DE CRÉDITO,PARA VIAGEM,17/05/2023
TXN_6110386,VITAMINA,1,4.0,4.0,DINHEIRO,PRESENCIAL,17/03/2023
TXN_7355635,SUCO,3,3.0,9.0,,PRESENCIAL,21/12/2023
TXN_2944518,,3,3.0,9.0,,PARA VIAGEM,14/09/2023
TXN_9169536,BOLO,5,3.0,,DINHEIRO,PRESENCIAL,10/06/2023
TXN_8257774,BISCOITO,5,1.0,5.0,DINHEIRO,PARA VIAGEM,04/03/2023
TXN_3873718,,1,5.0,5.0,DINHEIRO,PRESENCIAL,07/03/2023
TXN_8767676,VITAMINA,1,4.0,4.0,,,30/11/2023
TXN_1225638,BOLO,4,3.0,12.0,DINHEIRO,PARA VIAGEM,28/05/2023
TXN_5050111,,3,5.0,15.0,DINHEIRO,PRESENCIAL,13/06/2023
TXN_5508620,LANCHE,2,4.0,8.0,DINHEIRO,PRESENCIAL,26/08/2023
TXN_7864080,CHÁ,5,1.5,7.5,CARTÃO DE CRÉDITO,PARA VIAGEM,12/11/2023
TXN_6066883,BOLO,2,3.0,6.0,CARTÃO DE CRÉDITO,,21/12/2023
TXN_6034785,CAFÉ,3,2.0,6.0,CARTEIRA DIGITAL,,17/06/2023
TXN_7818024,BOLO,3,3.0,9.0,,,16/08/2023
TXN_2463115,LANCHE,5,4.0,20.0,CARTÃO DE CRÉDITO,PARA VIAGEM,12/09/2023
TXN_9948425,BOLO,3,3.0,9.0,,PARA VIAGEM,21/11/2023
TXN_2540440,,2,1.5,3.0,CARTEIRA DIGITAL,,30/12/2023
TXN_2006923,SALADA,5,5.0,25.0,CARTEIRA DIGITAL,,31/05/2023
TXN_6762172,CAFÉ,5,2.0,10.0,DINHEIRO,PARA VIAGEM,19/01/2023
TXN_6638051,VITAMINA,2,4.0,8.0,DINHEIRO,,05/11/2023
TXN_9834329,VITAMINA,,4.0,4.0,DINHEIRO,,17/09/2023
TXN_9172616,,4,2.0,8.0,,PARA VIAGEM,21/11/2023
TXN_8867300,VITAMINA,4,4.0,16.0,,PRESENCIAL,06/05/2023
TXN_6987950,BOLO,4,3.0,12.0,CARTÃO DE CRÉDITO,,04/05/2023
TXN_9967728,CAFÉ,4,2.0,8.0,,,30/01/2023
TXN_5591967,LANCHE,1,4.0,4.0,CARTÃO DE CRÉDITO,PARA VIAGEM,08/04/2023
TXN_5861158,LANCHE,3,4.0,12.0,CARTÃO DE CRÉDITO,PARA VIAGEM,21/11/2023
TXN_7501002,CAFÉ,1,2.0,2.0,CARTEIRA DIGITAL,,23/08/2023
TXN_2848654,VITAMINA,5,4.0,20.0,CARTEIRA DIGITAL,PRESENCIAL,15/03/2023
TXN_2406254,,5,3.0,15.0,,PARA VIAGEM,12/11/2023
TXN_3034652,SUCO,5,3.0,15.0,CARTÃO DE CRÉDITO,PRESENCIAL,04/11/2023
TXN_2710779,LANCHE,5,4.0,,CARTEIRA DIGITAL,PRESENCIAL,30/09/2023
TXN_2333576,CHÁ,2,,3.0,CARTEIRA DIGITAL,PARA VIAGEM,22/11/2023
TXN_6330369,SUCO,1,3.0,3.0,,,25/01/2023
TXN_7852032,LANCHE,1,4.0,4.0,DINHEIRO,,19/03/2023
TXN_7189368,LANCHE,2,4.0,8.0,CARTÃO DE CRÉDITO,,22/01/2023
TXN_6306655,,4,1.0,,CARTEIRA DIGITAL,PARA VIAGEM,22/01/2023
TXN_7169320,CAFÉ,3,2.0,6.0,CARTÃO DE CRÉDITO,,
TXN_6607568,CAFÉ,2,2.0,4.0,DINHEIRO,PRESENCIAL,24/03/2023
TXN_8245906,BOLO,1,,3.0,CARTEIRA DIGITAL,,08/02/2023
TXN_9837568,SALADA,5,5.0,25.0,DINHEIRO,PRESENCIAL,17/04/2023
TXN_9603263,BISCOITO,5,1.0,5.0,DINHEIRO,,02/05/2023
TXN_9425610,LANCHE,3,4.0,12.0,DINHEIRO,PRESENCIAL,08/01/2023
TXN_8092496,SUCO,4,3.0,12.0,,PRESENCIAL,11/03/2023
TXN_3611851,,4,,,CARTÃO DE CRÉDITO,,09/02/2023
TXN_9749333,BISCOITO,5,1.0,5.0,DINHEIRO,PRESENCIAL,27/02/2023
TXN_2771364,CAFÉ,1,2.0,2.0,CARTEIRA DIGITAL,,23/01/2023
TXN_5180326,SUCO,,3.0,12.0,,,26/04/2023
TXN_7376092,BISCOITO,4,1.0,4.0,DINHEIRO,PRESENCIAL,07/11/2023
TXN_9279347,LANCHE,,4.0,20.0,CARTÃO DE CRÉDITO,,27/02/2023
TXN_8278982,VITAMINA,5,4.0,20.0,CARTÃO DE CRÉDITO,PARA VIAGEM,06/09/2023
TXN_7686476,CAFÉ,3,2.0,6.0,CARTEIRA DIGITAL,PARA VIAGEM,03/01/2023
TXN_4283563,,2,1.5,3.0,DINHEIRO,,04/05/2023
TXN_1926278,BISCOITO,1,1.0,1.0,CARTÃO DE CRÉDITO,,29/07/2023
TXN_3981000,CHÁ,1,1.5,1.5,CARTEIRA DIGITAL,PRESENCIAL,24/05/2023
TXN_6167259,SUCO,2,3.0,6.0,CARTEIRA DIGITAL,,14/04/2023
TXN_7068653,BISCOITO,2,,2.0,DINHEIRO,PRESENCIAL,05/06/2023
TXN_1572930,CAFÉ,3,2.0,6.0,,PRESENCIAL,17/07/2023
TXN_2788797,CHÁ,2,1.5,3.0,,,23/03/2023
TXN_4255767,SUCO,1,3.0,3.0,,,25/05/2023
TXN_7367474,SUCO,5,3.0,15.0,CARTEIRA DIGITAL,PARA VIAGEM,01/01/2023
TXN_7551097,BOLO,2,3.0,6.0,CARTEIRA DIGITAL,,12/06/2023
TXN_1546695,CAFÉ,5,2.0,,,PARA VIAGEM,06/03/2023
TXN_4030010,LANCHE,5,4.0,20.0,,PARA VIAGEM,
TXN_4567455,CAFÉ,3,2.0,6.0,,PRESENCIAL,01/02/2023
TXN_7958487,BISCOITO,5,1.0,5.0,,,20/01/2023
TXN_2864420,LANCHE,1,4.0,4.0,,,12/07/2023
TXN_1498343,SALADA,2,5.0,10.0,CARTÃO DE CRÉDITO,PARA VIAGEM,31/03/2023
TXN_3107619,BISCOITO,2,1.0,2.0,CARTEIRA DIGITAL,PARA VIAGEM,31/05/2023
TXN_1923349,,4,,6.0,,,06/07/2023
TXN_7380217,CHÁ,1,1.5,1.5,CARTEIRA DIGITAL,,10/09/2023
TXN_3195132,SALADA,4,5.0,,CARTÃO DE CRÉDITO,,26/08/2023
TXN_9001088,CAFÉ,2,,4.0,CARTÃO DE CRÉDITO,,19/08/2023
TXN_2101437,,2,4.0,8.0,DINHEIRO,PRESENCIAL,27/08/2023
TXN_7411993,BOLO,2,3.0,6.0,CARTEIRA DIGITAL,PRESENCIAL,11/02/2023
TXN_2879092,,3,1.5,4.5,DINHEIRO,,22/05/2023
TXN_8791641,CHÁ,5,1.5,7.5,,PRESENCIAL,25/01/2023
TXN_4679593,SUCO,1,3.0,3.0,DINHEIRO,PRESENCIAL,10/01/2023
TXN_1907250,BISCOITO,1,1.0,1.0,CARTÃO DE CRÉDITO,,15/11/2023
TXN_8504764,,2,4.0,8.0,CARTEIRA DIGITAL,PARA VIAGEM,19/02/2023
TXN_1630051,VITAMINA,5,4.0,20.0,CARTEIRA DIGITAL,PARA VIAGEM,17/03/2023
TXN_2566258,BISCOITO,4,1.0,4.0,DINHEIRO,PARA VIAGEM,08/06/2023
TXN_5785600,SALADA,5,5.0,,DINHEIRO,PRESENCIAL,10/12/2023
TXN_4864206,BISCOITO,5,1.0,5.0,DINHEIRO,PRESENCIAL,18/03/2023
TXN_4360040,SALADA,1,5.0,5.0,CARTÃO DE CRÉDITO,,15/11/2023
TXN_9490163,SALADA,4,5.0,20.0,CARTÃO DE CRÉDITO,,23/02/2023
TXN_2640727,,3,3.0,9.0,CARTEIRA DIGITAL,PARA VIAGEM,05/03/2023
TXN_9927061,BISCOITO,2,1.0,2.0,,,17/10/2023
TXN_5113993,CAFÉ,1,2.0,2.0,CARTÃO DE CRÉDITO,PARA VIAGEM,10/02/2023
TXN_2192787,LANCHE,5,4.0,20.0,DINHEIRO,PRESENCIAL,01/01/2023
TXN_2127588,BOLO,4,3.0,12.0,DINHEIRO,PRESENCIAL,17/07/2023
TXN_5284338,,4,2.0,8.0,DINHEIRO,PARA VIAGEM,30/03/2023
TXN_8108748,LANCHE,1,4.0,4.0,DINHEIRO,,19/06/2023
TXN_5538713,BISCOITO,2,1.0,2.0,CARTEIRA DIGITAL,PARA VIAGEM,20/09/2023
TXN_5949811,CHÁ,,1.5,3.0,CARTEIRA DIGITAL,PRESENCIAL,21/02/2023
TXN_2565449,VITAMINA,3,4.0,12.0,CARTÃO DE CRÉDITO,PRESENCIAL,04/10/2023
TXN_7264039,BOLO,5,3.0,15.0,DINHEIRO,,19/09/2023
TXN_9224501,SALADA,5,5.0,25.0,CARTÃO DE CRÉDITO,PRESENCIAL,08/12/2023
TXN_5767393,VITAMINA,3,4.0,12.0,CARTEIRA DIGITAL,PRESENCIAL,11/09/2023
TXN_2628024,VITAMINA,1,4.0,4.0,,PRESENCIAL,02/05/2023
TXN_4638629,VITAMINA,4,4.0,,CARTÃO DE CRÉDITO,,10/02/2023
TXN_9287133,BOLO,5,3.0,15.0,CARTEIRA DIGITAL,PRESENCIAL,20/04/2023
TXN_6223786,BOLO,5,3.0,15.0,DINHEIRO,,05/07/2023
TXN_5460750,SUCO,3,3.0,9.0,CARTÃO DE CRÉDITO,,31/07/2023
TXN_6792445,BOLO,,3.0,9.0,DINHEIRO,,03/12/2023
TXN_2543138,LANCHE,1,4.0,4.0,CARTÃO DE CRÉDITO,,20/05/2023
TXN_7134064,VITAMINA,5,4.0,20.0,CARTÃO DE CRÉDITO,PARA VIAGEM,04/04/2023
TXN_8616163,VITAMINA,,4.0,8.0,,PARA VIAGEM,
TXN_9201988,CAFÉ,3,2.0,6.0,,,14/05/2023
TXN_5486063,VITAMINA,3,4.0,12.0,DINHEIRO,PRESENCIAL,21/05/2023
TXN_2285849,CHÁ,2,1.5,3.0,CARTÃO DE CRÉDITO,PARA VIAGEM,10/09/2023
TXN_9577271,LANCHE,5,4.0,20.0,DINHEIRO,PRESENCIAL,30/09/2023
TXN_6568536,BOLO,1,3.0,3.0,DINHEIRO,,29/12/2023
TXN_6802372,SUCO,3,3.0,9.0,,PRESENCIAL,20/07/2023
TXN_2624121,CHÁ,5,1.5,7.5,CARTEIRA DIGITAL,PRESENCIAL,28/01/2023
TXN_8994477,CAFÉ,3,,6.0,,PRESENCIAL,19/04/2023
TXN_7868879,LANCHE,4,4.0,16.0,DINHEIRO,PARA VIAGEM,02/05/2023
TXN_8321225,,4,1.5,6.0,CARTÃO DE CRÉDITO,PARA VIAGEM,20/08/2023
TXN_1439390,SUCO,4,3.0,12.0,,PRESENCIAL,14/02/2023
TXN_9373436,SALADA,4,5.0,20.0,CARTEIRA DIGITAL,,06/04/2023
TXN_6243519,CAFÉ,3,2.0,6.0,DINHEIRO,PARA VIAGEM,03/03/2023
TXN_8668901,SUCO,2,3.0,6.0,CARTÃO DE CRÉDITO,PARA VIAGEM,30/06/2023
TXN_4903004,CHÁ,4,1.5,6.0,CARTEIRA DIGITAL,PRESENCIAL,03/12/2023
TXN_2195218,BOLO,4,3.0,12.0,CARTEIRA DIGITAL,PRESENCIAL,10/09/2023
TXN_9678108,SALADA,3,5.0,15.0,,PARA VIAGEM,10/10/2023
TXN_3206876,SALADA,4,5.0,20.0,,PRESENCIAL,07/11/2023
TXN_3064922,,,5.0,10.0,DINHEIRO,,12/11/2023
TXN_7362525,BOLO,5,3.0,15.0,DINHEIRO,PARA VIAGEM,09/06/2023
TXN_2161341,SALADA,5,5.0,25.0,CARTEIRA DIGITAL,,12/03/2023
TXN_8753888,BISCOITO,4,1.0,4.0,CARTÃO DE CRÉDITO,PARA VIAGEM,25/12/2023
TXN_3265596,CHÁ,1,1.5,1.5,DINHEIRO,,28/12/2023
TXN_2815691,SUCO,5,3.0,15.0,CARTEIRA DIGITAL,,06/02/2023
TXN_8956534,CAFÉ,5,2.0,10.0,DINHEIRO,PARA VIAGEM,05/06/2023
TXN_7957208,CHÁ,1,1.5,1.5,CARTEIRA DIGITAL,PARA VIAGEM,14/04/2023
TXN_6851213,SUCO,1,3.0,3.0,CARTEIRA DIGITAL,,19/05/2023
TXN_7127903,CAFÉ,5,2.0,10.0,,PRESENCIAL,27/11/2023
TXN_7543722,BISCOITO,3,1.0,3.0,CARTEIRA DIGITAL,,26/08/2023
TXN_7952680,,1,5.0,5.0,,,09/06/2023
TXN_8556062,LANCHE,5,4.0,20.0,,,07/08/2023
TXN_8429412,VITAMINA,4,4.0,16.0,,,23/06/2023
TXN_3817784,SALADA,,5.0,5.0,,,25/11/2023
TXN_1749105,LANCHE,5,4.0,20.0,DINHEIRO,PRESENCIAL,17/10/2023
TXN_9731530,CHÁ,,1.5,6.0,CARTÃO DE CRÉDITO,,23/06/2023
TXN_1248266,SALADA,3,5.0,15.0,CARTÃO DE CRÉDITO,PRESENCIAL,14/10/2023
TXN_5400273,VITAMINA,4,4.0,16.0,CARTÃO DE CRÉDITO,,24/05/2023
TXN_2255634,SALADA,4,5.0,20.0,,,09/04/2023
TXN_3312002,VITAMINA,4,4.0,16.0,CARTEIRA DIGITAL,,30/04/2023
TXN_5331122,SALADA,4,5.0,20.0,CARTÃO DE CRÉDITO,PRESENCIAL,26/09/2023
TXN_1227800,SUCO,3,3.0,9.0,DINHEIRO,PARA VIAGEM,19/02/2023
TXN_1867836,SUCO,1,3.0,3.0,CARTÃO DE CRÉDITO,,21/03/2023
TXN_3051509,BISCOITO,,1.0,5.0,,PRESENCIAL,07/03/2023
TXN_5108804,SUCO,1,,3.0,CARTEIRA DIGITAL,PRESENCIAL,26/09/2023
TXN_2699583,LANCHE,5,4.0,20.0,CARTEIRA DIGITAL,PRESENCIAL,26/07/2023
TXN_1622577,SUCO,1,3.0,3.0,DINHEIRO,,14/03/2023
TXN_9508880,CAFÉ,4,2.0,8.0,,PRESENCIAL,26/10/2023
TXN_2156218,VITAMINA,2,4.0,8.0,CARTEIRA DIGITAL,PRESENCIAL,24/07/2023
TXN_8271025,SUCO,5,3.0,15.0,CARTÃO DE CRÉDITO,,09/03/2023
TXN_4894699,BISCOITO,2,1.0,2.0,CARTEIRA DIGITAL,PRESENCIAL,20/02/2023
TXN_5427338,BOLO,,3.0,6.0,CARTEIRA DIGITAL,PRESENCIAL,27/04/2023
TXN_8631468,BOLO,1,3.0,3.0,CARTÃO DE CRÉDITO,PRESENCIAL,10/10/2023
TXN_6315590,CHÁ,5,1.5,7.5,,PRESENCIAL,04/10/2023
TXN_7825457,BOLO,5,3.0,15.0,DINHEIRO,,15/09/2023
TXN_7468777,SALADA,1,5.0,5.0,CARTEIRA DIGITAL,PRESENCIAL,
TXN_2378096,CHÁ,3,1.5,4.5,DINHEIRO,PARA VIAGEM,22/09/2023
TXN_2627056,LANCHE,4,4.0,16.0,CARTEIRA DIGITAL,,22/04/2023
TXN_5062280,VITAMINA,4,4.0,16.0,CARTÃO DE CRÉDITO,,05/07/2023
TXN_3620110,CAFÉ,1,2.0,2.0,CARTEIRA DIGITAL,PARA VIAGEM,01/06/2023
TXN_7290923,SALADA,3,5.0,15.0,,,09/02/2023
TXN_7844687,BOLO,1,3.0,3.0,,PRESENCIAL,
TXN_1005331,CAFÉ,1,2.0,2.0,CARTEIRA DIGITAL,PARA VIAGEM,04/11/2023
TXN_1579182,SUCO,5,3.0,15.0,DINHEIRO,PRESENCIAL,20/02/2023
TXN_7311097,CAFÉ,5,2.0,10.0,,PRESENCIAL,05/08/2023
TXN_1185118,,5,3.0,,,,
TXN_4836614,,4,1.5,6.0,CARTEIRA DIGITAL,,03/04/2023
TXN_7477271,CHÁ,5,1.5,7.5,,PARA VIAGEM,12/07/2023
TXN_6503052,SUCO,4,3.0,12.0,,,21/04/2023
TXN_6471268,VITAMINA,5,4.0,20.0,CARTEIRA DIGITAL,,10/02/2023
TXN_3985301,VITAMINA,2,4.0,8.0,,PRESENCIAL,
TXN_6843517,LANCHE,5,4.0,,CARTÃO DE CRÉDITO,PRESENCIAL,02/01/2023
TXN_9370304,VITAMINA,4,,16.0,,PARA VIAGEM,01/09/2023
TXN_9298053,SUCO,5,3.0,15.0,DINHEIRO,PRESENCIAL,29/06/2023
TXN_1446862,BOLO,3,3.0,9.0,,PARA VIAGEM,26/09/2023
TXN_4987246,BISCOITO,3,1.0,,CARTEIRA DIGITAL,PARA VIAGEM,24/11/2023
TXN_6271219,LANCHE,3,4.0,12.0,DINHEIRO,,07/06/2023
TXN_2614545,CHÁ,1,1.5,1.5,,PRESENCIAL,10/08/2023
TXN_4917580,,3,2.0,6.0,,PRESENCIAL,08/03/2023
TXN_6236864,CHÁ,2,1.5,3.0,CARTEIRA DIGITAL,PRESENCIAL,17/08/2023
TXN_7825648,CAFÉ,1,2.0,2.0,,PARA VIAGEM,18/05/2023
TXN_1853196,LANCHE,1,4.0,4.0,CARTÃO DE CRÉDITO,,28/08/2023
TXN_7201361,VITAMINA,3,4.0,12.0,DINHEIRO,PRESENCIAL,26/05/2023
TXN_6902481,SUCO,3,3.0,9.0,DINHEIRO,,03/09/2023
TXN_4041845,SUCO,5,3.0,15.0,,,01/12/2023
TXN_8861272,CAFÉ,1,2.0,2.0,CARTEIRA DIGITAL,,27/03/2023
TXN_7527954,BOLO,4,3.0,12.0,,,09/12/2023
TXN_2229365,LANCHE,2,4.0,8.0,DINHEIRO,PRESENCIAL,07/09/2023
TXN_5563675,CHÁ,3,1.5,4.5,CARTEIRA DIGITAL,PRESENCIAL,01/01/2023
TXN_7416770,,3,3.0,9.0,,PARA VIAGEM,08/04/2023
TXN_6594187,CHÁ,5,1.5,7.5,,,
TXN_8632098,SALADA,2,,10.0,,,06/01/2023
TXN_3520908,LANCHE,3,,12.0,CARTEIRA DIGITAL,,01/08/2023
TXN_7907499,SUCO,3,3.0,9.0,CARTEIRA DIGITAL,PARA VIAGEM,18/04/2023
TXN_8360073,BOLO,4,3.0,12.0,CARTEIRA DIGITAL,PRESENCIAL,15/06/2023
TXN_4840295,,4,4.0,16.0,CARTEIRA DIGITAL,PARA VIAGEM,02/02/2023
TXN_4140167,CAFÉ,2,2.0,4.0,DINHEIRO,,29/06/2023
TXN_2690515,LANCHE,2,4.0,8.0,DINHEIRO,PARA VIAGEM,06/09/2023
TXN_2080682,CAFÉ,3,2.0,6.0,CARTÃO DE CRÉDITO,PRESENCIAL,02/05/2023
TXN_8399341,CHÁ,5,1.5,7.5,DINHEIRO,,22/03/2023
TXN_5661891,SALADA,1,5.0,5.0,CARTEIRA DIGITAL,PARA VIAGEM,28/10/2023
TXN_3164212,VITAMINA,4,4.0,16.0,,PRESENCIAL,14/11/2023
TXN_1834831,,5,5.0,25.0,CARTEIRA DIGITAL,PRESENCIAL,16/02/2023
TXN_3360401,,2,1.5,3.0,,PARA VIAGEM,05/02/2023
TXN_6036520,CAFÉ,5,2.0,10.0,DINHEIRO,,15/09/2023
TXN_1582958,CAFÉ,2,2.0,4.0,DINHEIRO,,08/12/2023
TXN_9834415,BISCOITO,2,1.0,2.0,CARTÃO DE CRÉDITO,PRESENCIAL,28/12/2023
TXN_7325430,CAFÉ,2,2.0,4.0,DINHEIRO,,17/04/2023
TXN_6440365,VITAMINA,2,4.0,8.0,DINHEIRO,,14/05/2023
TXN_4002629,BOLO,5,3.0,15.0,CARTÃO DE CRÉDITO,PRESENCIAL,15/06/2023
TXN_4244830,CAFÉ,5,2.0,10.0,,PRESENCIAL,24/04/2023
TXN_2217038,CHÁ,5,1.5,7.5,,,12/06/2023
TXN_6259827,BOLO,2,,6.0,CARTÃO DE CRÉDITO,PARA VIAGEM,14/06/2023
TXN_6551087,VITAMINA,1,4.0,4.0,CARTÃO DE CRÉDITO,,02/05/2023
TXN_1643039,BISCOITO,3,1.0,3.0,,,17/02/2023
TXN_3683787,CHÁ,5,,7.5,CARTÃO DE CRÉDITO,,16/09/2023
TXN_5765576,LANCHE,5,4.0,20.0,,PRESENCIAL,22/11/2023
TXN_4155134,BISCOITO,1,1.0,1.0,,PARA VIAGEM,07/05/2023
TXN_1795044,CAFÉ,2,2.0,4.0,CARTEIRA DIGITAL,,15/08/2023
TXN_3328393,,3,3.0,9.0,,,16/04/2023
TXN_2399870,SALADA,4,5.0,20.0,,,08/04/2023
TXN_8898121,CHÁ,4,1.5,6.0,CARTEIRA DIGITAL,,26/03/2023
TXN_4735392,VITAMINA,3,4.0,12.0,CARTÃO DE CRÉDITO,PARA VIAGEM,04/04/2023
TXN_3244935,SALADA,5,5.0,25.0,,PARA VIAGEM,24/11/2023
TXN_8410712,SUCO,5,3.0,15.0,CARTEIRA DIGITAL,PARA VIAGEM,23/10/2023
TXN_8997048,SUCO,1,3.0,3.0,,PRESENCIAL,05/12/2023
TXN_6009395,LANCHE,4,4.0,16.0,DINHEIRO,PRESENCIAL,20/07/2023
TXN_3733753,LANCHE,1,4.0,4.0,CARTEIRA DIGITAL,PARA VIAGEM,10/03/2023
TXN_4084548,SALADA,2,5.0,10.0,DINHEIRO,PRESENCIAL,21/07/2023
TXN_7125945,BOLO,3,3.0,9.0,CARTÃO DE CRÉDITO,PRESENCIAL,30/01/2023
TXN_6746140,BISCOITO,5,1.0,5.0,CARTEIRA DIGITAL,PARA VIAGEM,
TXN_8103439,VITAMINA,1,4.0,4.0,,PARA VIAGEM,30/11/2023
TXN_9474082,,3,5.0,15.0,CARTEIRA DIGITAL,PRESENCIAL,22/03/2023
TXN_2623927,LANCHE,2,4.0,8.0,,,27/01/2023
TXN_8707598,SUCO,4,,12.0,CARTÃO DE CRÉDITO,,22/10/2023
TXN_2810554,,1,3.0,3.0,CARTÃO DE CRÉDITO,PARA VIAGEM,18/02/2023
TXN_5435751,LANCHE,1,4.0,4.0,CARTÃO DE CRÉDITO,PARA VIAGEM,24/05/2023
TXN_9991468,SUCO,4,3.0,12.0,CARTÃO DE CRÉDITO,,30/11/2023
TXN_1339457,,3,4.0,,CARTEIRA DIGITAL,PRESENCIAL,23/05/2023
TXN_5186460,SUCO,3,3.0,9.0,CARTÃO DE CRÉDITO,,07/11/2023
TXN_8936782,SUCO,5,3.0,,,PRESENCIAL,01/04/2023
TXN_6885561,VITAMINA,3,4.0,12.0,CARTEIRA DIGITAL,PARA VIAGEM,24/06/2023
TXN_4089089,VITAMINA,5,4.0,20.0,,,26/10/2023
TXN_6304285,BOLO,5,3.0,15.0,CARTEIRA DIGITAL,PARA VIAGEM,16/11/2023
TXN_7792996,SALADA,4,5.0,20.0,DINHEIRO,,20/12/2023
TXN_3653328,BISCOITO,4,1.0,4.0,CARTEIRA DIGITAL,PRESENCIAL,27/06/2023
TXN_3003876,BISCOITO,3,1.0,3.0,DINHEIRO,,27/08/2023
TXN_4015634,CHÁ,2,1.5,3.0,,,28/06/2023
TXN_8166394,SUCO,4,3.0,12.0,CARTÃO DE CRÉDITO,,22/12/2023
TXN_1270603,SUCO,4,3.0,12.0,CARTÃO DE CRÉDITO,PARA VIAGEM,03/12/2023
TXN_8837886,VITAMINA,3,4.0,,,,20/04/2023
TXN_1437275,CAFÉ,3,2.0,6.0,CARTÃO DE CRÉDITO,,22/07/2023
TXN_5791605,VITAMINA,3,4.0,12.0,,PARA VIAGEM,17/05/2023
TXN_5836079,CAFÉ,1,2.0,2.0,CARTEIRA DIGITAL,,14/07/2023
TXN_2897115,,3,2.0,6.0,CARTEIRA DIGITAL,PRESENCIAL,23/06/2023
TXN_8916613,SALADA,4,5.0,20.0,,PARA VIAGEM,19/06/2023
TXN_9251292,CHÁ,2,1.5,3.0,DINHEIRO,,20/01/2023
TXN_9639025,CAFÉ,5,2.0,10.0,,,06/12/2023
TXN_7770253,CAFÉ,5,2.0,10.0,CARTEIRA DIGITAL,PARA VIAGEM,06/01/2023
TXN_9196116,BOLO,2,,6.0,,PRESENCIAL,06/07/2023
TXN_5405799,CAFÉ,3,2.0,6.0,DINHEIRO,,13/08/2023
TXN_1701500,VITAMINA,1,4.0,4.0,,PARA VIAGEM,05/01/2023
TXN_6669163,BISCOITO,,1.0,1.0,CARTÃO DE CRÉDITO,PARA VIAGEM,26/07/2023
TXN_9695128,BOLO,1,3.0,3.0,DINHEIRO,PRESENCIAL,21/12/2023
TXN_8700156,CHÁ,4,,6.0,CARTÃO DE CRÉDITO,PRESENCIAL,25/12/2023
TXN_7192920,VITAMINA,4,4.0,16.0,CARTEIRA DIGITAL,,28/02/2023
TXN_1866816,SUCO,3,3.0,9.0,,PRESENCIAL,21/08/2023
TXN_2423762,CAFÉ,1,2.0,2.0,,,12/08/2023
TXN_4007506,SALADA,1,5.0,5.0,,,19/01/2023
TXN_4371760,VITAMINA,2,4.0,8.0,DINHEIRO,PRESENCIAL,12/01/2023
TXN_4468830,VITAMINA,4,4.0,,CARTEIRA DIGITAL,PRESENCIAL,10/11/2023
TXN_1908100,SUCO,2,3.0,6.0,,PRESENCIAL,17/04/2023
TXN_3892344,BISCOITO,2,1.0,2.0,,,28/07/2023
TXN_3023841,CHÁ,3,1.5,4.5,CARTEIRA DIGITAL,PARA VIAGEM,29/04/2023
TXN_8793244,BOLO,4,3.0,12.0,CARTÃO DE CRÉDITO,PARA VIAGEM,08/05/2023
TXN_5764993,SALADA,3,5.0,,,PARA VIAGEM,26/04/2023
TXN_2376525,LANCHE,5,4.0,20.0,,,
TXN_2628941,VITAMINA,1,4.0,4.0,,PRESENCIAL,27/12/2023
TXN_5206049,,3,,3.0,CARTEIRA DIGITAL,,24/06/2023
TXN_5448602,SUCO,3,3.0,9.0,CARTÃO DE CRÉDITO,PRESENCIAL,17/01/2023
TXN_1346517,CAFÉ,1,2.0,2.0,CARTEIRA DIGITAL,PARA VIAGEM,20/03/2023
TXN_9277534,VITAMINA,2,4.0,8.0,CARTÃO DE CRÉDITO,PRESENCIAL,25/04/2023
TXN_4946991,BOLO,1,,3.0,,,17/04/2023
TXN_9663098,SUCO,2,3.0,6.0,DINHEIRO,,10/06/2023
TXN_2492586,SALADA,3,,15.0,DINHEIRO,,17/05/2023
TXN_2450799,CHÁ,5,,7.5,,,26/11/2023
TXN_6145837,BOLO,5,3.0,15.0,CARTEIRA DIGITAL,PARA VIAGEM,27/08/2023
TXN_3665727,BISCOITO,1,1.0,1.0,,PRESENCIAL,13/10/2023
TXN_5067056,LANCHE,1,4.0,4.0,DINHEIRO,PRESENCIAL,13/08/2023
TXN_8453110,VITAMINA,3,4.0,12.0,CARTEIRA DIGITAL,,24/06/2023
TXN_4954887,BISCOITO,3,1.0,3.0,,PRESENCIAL,11/06/2023
TXN_4449173,,,2.0,2.0,CARTEIRA DIGITAL,PARA VIAGEM,05/04/2023
TXN_6641409,,5,4.0,20.0,CARTEIRA DIGITAL,,21/11/2023
TXN_6132959,SALADA,5,5.0,25.0,CARTEIRA DIGITAL,,01/07/2023
TXN_8626161,VITAMINA,3,4.0,12.0,CARTEIRA DIGITAL,PRESENCIAL,23/11/2023
TXN_7099050,SALADA,3,5.0,15.0,CARTÃO DE CRÉDITO,PARA VIAGEM,18/01/2023
TXN_8938663,CAFÉ,1,2.0,2.0,CARTEIRA DIGITAL,,09/09/2023
TXN_5039624,BISCOITO,4,1.0,4.0,,PARA VIAGEM,27/04/2023
TXN_9565465,CHÁ,3,1.5,4.5,CARTÃO DE CRÉDITO,PRESENCIAL,26/12/2023
TXN_6301600,SUCO,4,3.0,12.0,CARTEIRA DIGITAL,PRESENCIAL,28/02/2023
